#{"t_start": 1681589345.1900601, "env_id": null}
r,l,t
-103.816768,135,10.259136
-39.17037,12,10.266735
133.664815,151,10.363336
-22.725926,39,10.388657
-83.060741,33,10.411565
115.965185,93,10.472334
-86.594444,52,10.507107
-36.865926,57,10.546507
-89.329259,104,10.617002
-84.048519,87,10.672892
-73.920741,18,10.685644
-74.042963,113,10.759205
-64.031481,111,10.833932
-97.81963,38,10.858909
-82.948148,30,10.879371
-77.582222,121,10.963721
-75.894074,72,11.012724
-99.328519,10,11.020303
-4.001111,14,11.029047
-98.009259,35,11.05393
-104.418249,97,11.11775
-83.499259,20,11.131364
-17.968889,32,11.153232
-38.753704,21,11.167365
-97.83037,31,11.188632
-80.842963,74,11.238555
-85.67963,70,11.284606
-39.045556,14,11.294629
-97.719259,46,11.325492
-98.27037,29,11.34444
-82.334074,46,11.374694
-82.111852,51,11.408403
21.610741,102,11.47571
52.264815,125,11.563698
-96.304074,61,11.609325
-22.682593,39,11.635586
-98.566667,26,11.654746
52.89,58,11.691845
-87.02037,45,11.723208
-97.740741,34,11.745335
-33.388889,30,11.766465
-82.257778,48,11.79774
-98.587037,25,11.813512
-86.195926,60,11.853057
28.494815,151,11.954172
-99.196296,12,11.962328
-80.057778,87,12.019433
-97.801852,38,12.045211
-99.425926,10,12.050894
-57.311111,46,12.08272
-37.718148,124,12.165554
-81.482593,59,12.20453
-83.637778,24,12.222121
-86.492222,56,12.263375
-63.691852,108,12.336651
-86.95963,45,12.36629
-81.078148,62,12.407963
-37.49037,41,12.436831
-80.925185,71,12.482518
-87.553704,41,12.511657
-40.178148,82,12.565595
-82.362593,43,12.595204
-31.228148,143,12.69243
-76.64963,53,12.726213
-82.773704,34,12.748137
-83.370741,26,12.7667
-82.611111,38,12.791253
-73.32963,22,12.806197
-83.608889,107,12.874968
-81.90037,50,12.910918
-38.82963,21,12.926425
-81.867407,50,12.962401
-87.298519,41,12.990343
-84.754815,90,13.051985
-98.187778,31,13.072064
-93.334074,103,13.142576
-98.241111,28,13.161694
-71.010741,61,13.203166
-57.652222,123,13.285387
-82.854815,33,13.307351
-98.958148,15,13.318268
-81.001481,70,13.366589
-86.144815,62,13.407609
-81.781852,54,13.444879
-97.427407,38,13.46908
-41.41,57,13.505538
-88.814444,18,13.518391
-98.453704,37,13.542023
-8.41037,21,13.555255
-83.024074,30,13.575479
-98.395926,27,13.59789
38.601481,151,13.701594
-64.773333,88,13.763594
-20.510741,76,13.816308
-65.108519,80,13.87168
-61.241111,62,13.913497
-79.082222,95,13.97755
-93.867407,20,13.991401
-82.445185,44,14.020725
-80.348519,82,14.072872
3.127306,151,14.175395
-81.14037,66,14.21914
-99.25963,11,14.227203
-81.23,65,14.274313
-83.796667,18,14.288264
-98.672222,22,14.303612
-102.334074,48,14.336267
-77.085185,49,14.37023
-92.159259,53,14.405195
-82.41037,38,14.429699
-78.946296,108,14.500796
-96.994074,49,14.535156
-98.00037,32,14.5572
-106.534074,93,14.620441
-98.397778,25,14.637313
-81.06963,65,14.680688
-99.19,12,14.688926
-39.476296,11,14.696926
-77.567407,141,14.790801
-81.315926,64,14.83218
-98.44037,26,14.850773
-82.075185,49,14.883117
-98.781481,21,14.897276
-38.273333,32,14.919353
-38.706667,22,14.934842
-87.212593,130,15.023361
-74.155556,14,15.033463
-28.204444,114,15.106852
-97.054815,43,15.136756
-73.593333,23,15.15219
-41.359259,56,15.188602
-12.981852,33,15.210542
-96.53963,75,15.2606
3.72037,151,15.360395
-37.947778,44,15.388375
-38.043333,30,15.407516
