#{"t_start": 1681732670.947023, "env_id": null}
r,l,t
-115.825669,45,8.930187
-101.65,12,8.937413
-109.016667,18,8.947691
-48.419841,25,8.961723
-72.302561,44,8.986213
-108.5,16,8.99538
-113.827165,35,9.015054
-123.705556,49,9.042444
-39.361111,11,9.048996
-112.794444,32,9.066974
-99.616667,10,9.072872
-107.326679,50,9.101064
-132.131224,65,9.137549
-123.741053,43,9.16128
-38.7,11,9.167769
-40.9,11,9.174416
-43.583333,35,9.193616
-59.686508,48,9.220428
-39.577778,10,9.226323
-39.161111,14,9.234514
-39.077778,16,9.244002
-98.388889,12,9.251012
-40.216667,17,9.260682
-79.027778,41,9.283215
-110.361508,27,9.298617
-100.216667,14,9.306799
-127.223377,48,9.333496
-39.955556,11,9.340118
-38.955556,10,9.345968
-39.338889,11,9.352535
-59.875794,43,9.379703
-38.833333,15,9.38929
-39.755556,14,9.397785
-120.933117,60,9.431744
-111.635101,42,9.455527
-109.911111,16,9.465098
-41.422222,13,9.472711
-107.744444,19,9.483729
-116.08254,44,10.370638
-51.644444,32,10.389848
-107.905339,59,10.424553
-99.127778,14,10.433127
-99.5,22,10.446344
-27.38373,39,10.46988
-101.683333,11,10.476446
-101.822222,13,10.484955
-39.888889,10,10.490824
-92.483333,34,10.510998
-99.666667,11,10.518049
-98.911111,22,10.530965
-28.166667,26,10.546425
-95.667063,43,10.572012
-33.438889,18,10.582836
-115.639286,77,10.627843
-104.693346,35,10.649116
6.65,12,10.656657
-99.527778,12,10.664111
-38.95,14,10.672945
-56.199298,37,10.695054
-39.966667,17,10.705609
-88.261111,14,10.714174
-51.596123,37,10.736217
-46.107323,44,10.761835
-38.996032,43,10.787124
-33.094444,38,10.809397
-74.40873,30,10.827477
-87.944444,18,10.841474
-109.327778,22,10.855045
-69.481224,66,10.894397
-104.588889,20,10.908746
-94.660714,37,10.93205
-91.997619,35,10.953578
-42.005556,14,10.961943
-41.005556,11,10.969446
-104.188889,28,10.986687
-115.347222,55,11.019522
-94.666667,22,11.0324
-100.544444,15,11.04202
-132.14246,80,11.088067
