#{"t_start": 1681844333.6413796, "env_id": null}
r,l,t
-105.509809,187,41.419477
-39.790057,38,41.457303
-114.721468,124,42.041
10.708063,72,42.112862
-102.835842,20,42.538149
8.850779,201,43.265933
-17.457892,201,44.023344
4.035943,201,44.733299
-100.471353,181,45.501036
-13.818616,201,46.175549
-7.066034,201,46.973722
-99.650039,34,47.005518
-99.732391,35,47.03802
-39.15114,11,47.048859
-27.836265,201,47.597564
-104.5924,41,47.635431
-61.701073,92,48.103961
-101.343172,14,48.117315
-51.768625,157,48.662968
-37.736464,34,49.260709
-104.15351,40,49.298134
-38.445774,57,49.372424
50.721304,102,49.790876
-46.665178,46,50.334657
-2.908649,201,51.025228
-99.728845,74,51.495991
-104.384226,35,51.529105
-98.793996,54,51.579444
-96.943226,65,51.944683
-98.655989,31,51.974276
-39.720212,16,51.989553
27.466076,201,52.631139
-99.095569,104,53.13682
-81.393165,130,53.764276
-101.798147,17,53.780688
-97.400988,61,53.83726
-96.679731,64,54.225489
-83.065535,167,54.802485
-81.115255,67,55.261268
-103.026529,39,55.297775
-42.545349,37,55.333113
-45.121267,113,55.690684
-70.036191,156,56.220254
-105.82471,60,56.773756
-105.434641,43,56.813671
-108.374466,84,57.170113
-42.305644,22,57.19354
-41.618106,23,57.215264
-43.60773,37,57.249922
-102.501397,35,57.541375
-38.778316,16,57.556755
-88.308658,96,58.085467
-99.7081,29,58.113085
-92.338185,114,58.644928
-60.211193,197,59.295928
-25.996834,163,60.009905
-50.47452,96,60.098625
-39.183244,69,60.60092
-106.768978,68,60.66444
-102.209801,40,61.07327
-104.366876,69,61.139256
-5.541215,80,61.576144
-100.463526,53,61.625274
-103.139571,68,62.001498
-97.886581,31,62.030932
-4.017061,201,62.617817
-100.398281,71,62.682868
-76.536997,151,63.206367
-113.963239,201,63.97465
-102.752355,61,64.031087
-85.626245,69,64.433716
-90.454051,47,64.477463
-75.608683,162,65.031388
75.497017,201,65.790732
26.349939,201,66.440804
-39.85317,11,66.451633
-106.959254,65,66.511664
91.079795,201,67.148474
-0.445374,201,67.770797
-30.497275,89,68.337226
34.977462,201,68.994638
-104.036793,74,69.06284
-117.008448,105,69.5145
-98.22504,147,70.060024
-100.085222,32,70.090218
-45.482961,61,70.59906
-41.205277,11,70.61008
98.229724,201,71.274338
-104.129992,43,71.315585
-68.397377,155,71.823078
16.260056,201,72.502582
-43.964632,42,72.541788
-97.575695,126,72.981528
-101.345713,19,72.999813
-60.109922,57,73.44013
-104.813287,85,73.518803
-75.8457,135,74.063577
-41.43766,63,74.647327
-42.635325,19,74.683528
-95.038924,44,74.724912
20.228395,80,75.082465
-42.97602,35,75.115334
-102.943426,44,75.482898
-39.919992,11,75.494015
3.808931,149,76.163426
42.8509,201,76.751787
-102.938719,28,77.274004
5.444382,201,77.946316
-20.423648,155,78.485579
-101.687615,42,78.99282
-40.652482,15,79.026265
-99.165013,47,79.070391
-39.928604,25,79.094119
-48.406182,124,79.481642
23.367976,201,80.216907
-39.63293,39,80.253955
-99.5145,58,80.645772
-60.720704,160,81.253636
-99.923436,11,81.264423
-100.958411,23,81.286493
-108.949669,70,81.694133
-43.2517,20,81.713219
-91.760452,36,81.746866
-93.030174,14,81.760591
-41.999417,45,82.041272
-99.382333,85,82.120001
-41.15417,18,82.137118
-14.456313,201,82.868853
-101.424086,17,82.885078
-102.241976,63,83.310036
-2.660073,201,84.025236
3.746131,178,84.78161
