#{"t_start": 1682030397.8749208, "env_id": null}
r,l,t
-39.148508,10,2.777297
-98.670467,10,2.779821
-38.870862,10,2.782372
-33.848464,12,2.785204
-39.139431,10,2.788129
-107.869113,21,2.79287
-102.109751,37,2.800613
-29.977284,50,2.811031
-112.258893,27,2.817454
-119.534872,37,2.825388
-38.84185,14,2.828716
-38.679109,10,2.831245
-107.024512,30,2.837942
-39.411107,10,2.84042
-83.762412,10,2.842931
-39.142331,11,2.845695
118.744229,151,2.877287
-39.216532,12,2.880112
-99.863616,12,2.882987
61.312381,51,2.893588
-88.624435,10,2.896546
-101.381698,43,2.905613
-49.308822,23,2.910508
-137.558708,76,2.926395
-98.440189,12,2.929644
-79.307423,151,2.959784
-39.375009,10,2.962178
-70.829521,67,2.982626
-64.558034,51,2.994277
-38.924499,14,2.997659
-144.751625,83,3.014299
-18.437786,12,3.017193
-21.76581,80,3.033507
-99.754481,10,3.036656
-130.00949,51,3.046699
-146.731211,77,3.062332
-117.219062,43,3.071725
-55.00505,39,3.079846
-133.935121,51,3.090898
9.324845,46,3.10024
-107.960864,19,3.104919
-39.624737,55,3.116102
-56.579126,33,3.12323
-124.293618,55,3.134577
-108.635815,151,3.165593
-104.717504,34,3.172734
-40.075254,12,3.175708
-39.392666,12,3.178588
-39.233464,12,3.181961
-39.286945,11,3.184589
-39.34756,10,3.187004
-57.659023,52,3.200577
-59.616031,50,3.211641
-118.884613,40,3.22012
-99.924237,11,3.222845
-83.195849,78,3.238433
-33.546925,12,3.241749
-132.052955,55,3.253664
-111.565581,52,3.264662
-122.038592,50,3.274536
-133.837233,109,3.297206
-38.916565,10,3.299766
-46.61679,37,3.308124
-75.41361,25,3.313507
-39.011029,10,3.316265
-47.142497,32,3.322803
-23.115172,63,3.335452
-118.025108,50,3.345722
-62.763878,51,3.357108
-38.906113,15,3.360571
-78.338116,67,3.373959
-18.126908,12,3.376894
-99.211995,16,3.380986
-99.04289,10,3.383511
-40.095047,10,3.386068
-38.785395,11,3.388679
-41.096321,58,3.400913
-1.543916,27,3.406662
-38.768879,12,3.409633
-98.678055,10,3.412243
-48.015367,26,3.42086
-61.676711,63,3.434294
-99.199399,15,3.437817
-114.23045,36,3.445322
-96.641202,25,3.451507
-155.311157,120,3.476292
-74.745466,18,3.480464
22.7547,89,3.498384
-70.060365,79,3.514644
-49.320834,39,3.523319
-99.392972,15,3.526778
-3.434379,26,3.532303
-49.811815,43,3.541728
-98.95388,14,3.545065
-146.455139,95,3.563577
14.28289,21,3.568277
-42.82638,99,3.58894
-22.9936,13,3.592062
-135.244903,73,3.606846
-116.259413,30,3.613088
-109.536705,19,3.617638
-171.897559,131,3.646494
-123.326043,71,3.661936
-88.33669,22,3.666859
-39.191149,12,3.670054
-39.548167,17,3.673813
-42.850307,37,3.681519
-66.017954,47,3.691563
-38.425593,10,3.694473
-107.962349,26,3.700343
-0.961137,46,3.709616
-124.095778,60,3.72205
-46.997817,60,3.734627
-60.883026,56,3.746405
4.136326,23,3.751591
-105.756254,25,3.756993
-49.9001,27,3.763057
-64.638916,50,3.773307
-99.179004,10,3.775858
-18.814145,42,3.784954
-99.41849,18,3.78938
-48.81409,64,3.8027
-43.295179,26,3.808347
-112.755744,33,3.815603
-83.449318,11,3.818566
-55.680079,47,3.828192
-8.782614,10,3.830783
-39.295074,12,3.833707
-117.322238,35,3.841302
-38.880455,11,3.843961
-12.145832,44,3.855629
-29.051841,11,3.85844
-6.311882,24,3.864197
-49.113583,25,3.869753
-50.78067,22,3.874563
-145.749401,74,3.889695
-48.650648,23,3.895174
-110.280922,28,3.901315
-121.745684,67,3.915752
-54.386276,35,3.923177
-93.252806,11,3.926354
-39.405674,10,3.928848
-107.155217,25,3.934051
-38.734642,12,3.936996
-93.976579,10,3.940003
-132.738838,93,3.95892
-46.253446,30,3.965285
-39.428048,11,3.967991
-112.173439,51,3.97873
-116.435494,35,3.986115
-50.567016,35,3.993386
-120.33835,98,4.013452
-98.477554,17,4.017651
-39.934086,11,4.020324
-117.497014,47,4.030085
-39.114014,11,4.032703
-51.760417,48,4.042615
-60.870599,52,4.05303
-45.825128,22,4.057857
-102.495868,38,4.068362
-39.077771,11,4.071476
-35.424932,61,4.083737
-105.177514,17,4.088265
-46.472567,71,4.102905
-70.96936,83,4.121095
-92.49149,16,4.124995
-113.269139,46,4.134334
-97.994444,50,4.144131
-38.427664,11,4.147221
-109.443145,27,4.152937
-3.662935,11,4.155624
-143.806369,81,4.172763
-72.670575,27,4.179049
-42.309013,24,4.184265
-108.856771,26,4.189946
-64.179121,54,4.200483
-38.720947,10,4.203363
-53.144677,13,4.206402
-127.60878,55,4.21769
-38.721933,12,4.220556
-72.052631,151,4.251057
-38.729318,11,4.25367
-38.14582,11,4.256332
-100.037376,10,4.258962
-39.411969,12,4.262259
-47.448852,27,4.268021
-39.019928,11,4.270702
-145.335119,68,4.287113
-28.72902,34,4.29508
-23.617612,37,4.30303
-39.436597,10,4.305581
-39.358573,11,4.308336
-99.808317,22,4.313727
-93.97625,11,4.316408
-106.427589,29,4.322618
-44.423402,27,4.328291
-99.944739,10,4.33127
-39.549028,10,4.333841
-23.552083,10,4.336416
-39.210078,11,4.339065
-99.064965,15,4.343393
-97.159305,47,4.353312
-45.82708,27,4.359099
