#{"t_start": 1682012610.2607944, "env_id": null}
r,l,t
-165.647052,24,2.417623
-148.597526,14,2.421147
-155.487995,10,2.423733
-110.797553,22,2.428691
-409.778089,132,2.455051
-105.538965,12,2.458384
-100.103671,10,2.460832
-166.933925,69,2.475023
-155.596051,32,2.481864
-112.374755,21,2.487045
-195.710701,49,2.497217
-99.472885,14,2.500675
-162.870653,28,2.508743
-112.355844,35,2.516994
-98.061284,11,2.519762
-160.360172,25,2.525266
-174.487282,22,2.530227
-202.195966,61,2.543288
-109.051408,32,2.550251
-238.769961,45,2.559707
-374.187642,100,2.579431
-152.713751,28,2.585891
-148.293844,10,2.588408
-158.934855,42,2.597144
-474.417678,91,2.615592
-158.779296,10,2.618461
-99.785316,12,2.621275
-103.707778,47,2.630987
-174.914509,38,2.638793
-272.220604,54,2.6503
-156.498695,11,2.652993
-148.105729,11,2.655555
-214.851039,50,2.665879
-179.205329,67,2.680076
-154.915609,10,2.682647
-151.11423,14,2.685882
-158.681267,25,2.691176
-187.973241,28,2.697337
-138.048391,35,2.704609
-100.672595,15,2.708114
-290.193024,66,2.724017
-142.425824,56,2.737192
-153.504562,10,2.739762
-149.321949,10,2.742275
-99.134188,23,2.747366
-99.210747,10,2.7504
-156.182121,25,2.755998
-107.757466,23,2.761389
-153.87761,32,2.768578
-206.828732,56,2.781026
-148.480297,10,2.783709
-351.976766,78,2.799865
-124.401316,38,2.807794
-103.162603,10,2.810654
-97.084134,14,2.814025
-463.484402,101,2.834239
-98.19762,10,2.836746
-110.302502,24,2.842242
-214.588392,35,2.849645
-99.794566,13,2.85282
-151.061457,13,2.855825
-101.281342,16,2.859867
-98.056156,11,2.8625
-273.946196,55,2.873695
-153.705268,10,2.876194
-102.208901,17,2.880369
-155.812893,11,2.883175
-106.271451,12,2.886024
-161.478542,12,2.889025
-103.805696,11,2.891917
-101.584877,30,2.89837
-190.680893,65,2.911648
-116.075435,10,2.914063
-157.101944,17,2.918305
-105.003839,10,2.920807
-194.155916,30,2.927442
-100.024844,11,2.930103
-100.040894,12,2.933234
-148.240755,10,2.935767
-151.934032,27,2.941442
-98.199215,10,2.943874
-214.325413,56,2.95805
-176.060559,21,2.96274
-100.867218,10,2.965297
-159.686894,21,2.97017
-109.979939,10,2.973131
-100.692304,21,2.977682
-134.74108,28,2.983843
-134.216632,40,2.992198
-128.485642,22,2.997729
-254.305869,33,3.005087
-152.033879,35,3.012685
-112.767172,24,3.018112
-287.657448,34,3.026088
-236.78538,80,3.042323
-107.74096,39,3.050932
-155.420772,55,3.061858
-214.085907,99,3.082184
-151.435289,13,3.085459
-148.762012,10,3.087875
-442.456902,71,3.102167
-276.265313,96,3.123043
-197.283711,106,3.144696
-182.931453,50,3.155166
-98.744634,11,3.157964
-208.706338,88,3.17957
-111.800488,22,3.184679
-100.186894,11,3.187493
-150.169528,12,3.190381
-143.775201,18,3.19484
-173.728514,58,3.207247
-109.777963,10,3.209762
-151.555831,16,3.213423
-252.27403,51,3.224551
-122.01408,65,3.23783
-245.593666,49,3.247689
-108.267281,33,3.254739
-148.171085,25,3.260684
-99.814092,10,3.263186
-161.506592,10,3.265667
